random_walk_question,graph_context,name_source,path_so_far,prefix_length,start_node,current_node,sampled_next_node,valid_next_nodes,all_nodes,walk_id,prompt_id
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
alpha

What is the next node? Respond with exactly one node label.",social,baby_names,alpha,0,alpha,alpha,ean,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,0,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
abe -> alpha

What is the next node? Respond with exactly one node label.",social,baby_names,abe -> alpha,1,abe,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,1,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
amina -> ean -> alpha

What is the next node? Respond with exactly one node label.",social,baby_names,amina -> ean -> alpha,2,amina,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,2,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ean -> ilan -> ean -> alpha

What is the next node? Respond with exactly one node label.",social,baby_names,ean -> ilan -> ean -> alpha,3,ean,alpha,ean,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,3,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
idy -> amy -> idy -> arlo -> abe -> alpha

What is the next node? Respond with exactly one node label.",social,baby_names,idy -> amy -> idy -> arlo -> abe -> alpha,5,idy,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,4,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
idy -> arlo -> idy -> arden -> liv -> abe -> alpha -> abe -> alpha

What is the next node? Respond with exactly one node label.",social,baby_names,idy -> arlo -> idy -> arden -> liv -> abe -> alpha -> abe -> alpha,8,idy,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,5,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ean

What is the next node? Respond with exactly one node label.",social,baby_names,ean,0,ean,ean,amina,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,6,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
amina -> ean

What is the next node? Respond with exactly one node label.",social,baby_names,amina -> ean,1,amina,ean,ilan,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,7,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ilan -> amina -> ean

What is the next node? Respond with exactly one node label.",social,baby_names,ilan -> amina -> ean,2,ilan,ean,amina,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,8,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
amina -> ean -> alpha -> ean

What is the next node? Respond with exactly one node label.",social,baby_names,amina -> ean -> alpha -> ean,3,amina,ean,ilan,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,9,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
liv -> abe -> arlo -> abe -> alpha -> ean

What is the next node? Respond with exactly one node label.",social,baby_names,liv -> abe -> arlo -> abe -> alpha -> ean,5,liv,ean,alpha,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,10,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ada -> aya -> amina -> ilan -> ean -> amina -> manuel -> ilan -> ean

What is the next node? Respond with exactly one node label.",social,baby_names,ada -> aya -> amina -> ilan -> ean -> amina -> manuel -> ilan -> ean,8,ada,ean,ilan,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,11,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ilan

What is the next node? Respond with exactly one node label.",social,baby_names,ilan,0,ilan,ilan,manuel,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,12,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ean -> ilan

What is the next node? Respond with exactly one node label.",social,baby_names,ean -> ilan,1,ean,ilan,amina,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,13,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ilan -> amina -> ilan

What is the next node? Respond with exactly one node label.",social,baby_names,ilan -> amina -> ilan,2,ilan,ilan,ean,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,14,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ilan -> ean -> amina -> ilan

What is the next node? Respond with exactly one node label.",social,baby_names,ilan -> ean -> amina -> ilan,3,ilan,ilan,manuel,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,15,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
manuel -> ada -> manuel -> ada -> manuel -> ilan

What is the next node? Respond with exactly one node label.",social,baby_names,manuel -> ada -> manuel -> ada -> manuel -> ilan,5,manuel,ilan,ean,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,16,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ean -> ilan -> amina -> aya -> amina -> ean -> amina -> manuel -> ilan

What is the next node? Respond with exactly one node label.",social,baby_names,ean -> ilan -> amina -> aya -> amina -> ean -> amina -> manuel -> ilan,8,ean,ilan,manuel,ean|amina|manuel,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,17,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
amina

What is the next node? Respond with exactly one node label.",social,baby_names,amina,0,amina,amina,ilan,ean|ilan|manuel|aya,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,18,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ilan -> amina

What is the next node? Respond with exactly one node label.",social,baby_names,ilan -> amina,1,ilan,amina,ean,ean|ilan|manuel|aya,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,19,0
"Graph:
liv is friends with arden. amy is friends with arden. alpha is friends with abe. amina is friends with aya. ilan is friends with ean. amina is friends with ean. ilan is friends with amina. arlo is friends with idy. abe is friends with liv. idy is friends with arlo. ada is friends with manuel. abe is friends with alpha. ada is friends with aya. ilan is friends with manuel. ean is friends with amina. alpha is friends with ean. arden is friends with idy. liv is friends with abe. amy is friends with idy. amina is friends with ilan. idy is friends with amy. abe is friends with arlo. arlo is friends with abe. manuel is friends with ilan. aya is friends with ada. manuel is friends with ada. arden is friends with amy. aya is friends with amina. ean is friends with ilan. ean is friends with alpha. idy is friends with arden. arden is friends with liv. amina is friends with manuel. manuel is friends with amina.

Path so far:
ada -> manuel -> amina

What is the next node? Respond with exactly one node label.",social,baby_names,ada -> manuel -> amina,2,ada,amina,aya,ean|ilan|manuel|aya,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,20,0
