question,startpoint,endpoint,opt1,opt2,correct_choice,question_id,prompt_id
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. mason wants to pass a message most efficiently to victoria, should mason begin by passing the message on to sage or adam?",mason,victoria,sage,adam,adam,0,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. mason wants to pass a message most efficiently to eve, should mason begin by passing the message on to adam or sage?",mason,eve,adam,sage,adam,1,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. mason wants to pass a message most efficiently to crystal, should mason begin by passing the message on to adam or sage?",mason,crystal,adam,sage,sage,2,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. mason wants to pass a message most efficiently to bella, should mason begin by passing the message on to adam or sage?",mason,bella,adam,sage,sage,3,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to sam, should adam begin by passing the message on to mason or victoria?",adam,sam,mason,victoria,victoria,4,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to sam, should adam begin by passing the message on to eve or mason?",adam,sam,eve,mason,eve,5,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to max, should adam begin by passing the message on to mason or eve?",adam,max,mason,eve,eve,6,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to max, should adam begin by passing the message on to victoria or eve?",adam,max,victoria,eve,eve,7,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to sage, should adam begin by passing the message on to victoria or mason?",adam,sage,victoria,mason,mason,8,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. adam wants to pass a message most efficiently to sage, should adam begin by passing the message on to mason or eve?",adam,sage,mason,eve,mason,9,0
