random_walk_question,graph_context,name_source,path_so_far,prefix_length,start_node,current_node,sampled_next_node,valid_next_nodes,all_nodes,walk_id,prompt_id
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,alpha,0,alpha,alpha,ean,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,0,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
abe -> alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,abe -> alpha,1,abe,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,1,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
amina -> ean -> alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,amina -> ean -> alpha,2,amina,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,2,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
ean -> ilan -> ean -> alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,ean -> ilan -> ean -> alpha,3,ean,alpha,ean,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,3,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
idy -> amy -> idy -> arlo -> abe -> alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,idy -> amy -> idy -> arlo -> abe -> alpha,5,idy,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,4,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
idy -> arlo -> idy -> arden -> liv -> abe -> alpha -> abe -> alpha

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,idy -> arlo -> idy -> arden -> liv -> abe -> alpha -> abe -> alpha,8,idy,alpha,abe,ean|abe,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,5,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
ean

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,ean,0,ean,ean,amina,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,6,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
amina -> ean

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,amina -> ean,1,amina,ean,ilan,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,7,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
ilan -> amina -> ean

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,ilan -> amina -> ean,2,ilan,ean,amina,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,8,0
"Graph:
Adjacency list:
node alpha: ean, abe
node ean: alpha, ilan, amina
node ilan: ean, amina, manuel
node amina: ean, ilan, manuel, aya
node manuel: ilan, amina, ada
node aya: amina, ada
node ada: manuel, aya
node abe: alpha, liv, arlo
node liv: abe, arden
node arlo: abe, idy
node arden: liv, idy, amy
node idy: arlo, arden, amy
node amy: arden, idy

Path so far:
amina -> ean -> alpha -> ean

What is the next node? Respond with exactly one node label.",generic_adj_list,baby_names,amina -> ean -> alpha -> ean,3,amina,ean,ilan,alpha|amina|ilan,alpha|ean|ilan|amina|manuel|aya|ada|abe|liv|arlo|arden|idy|amy,9,0
