random_walk_question,graph_context,name_source,path_so_far,prefix_length,start_node,current_node,sampled_next_node,valid_next_nodes,all_nodes,walk_id,prompt_id
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,drag,0,drag,drag,atur,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,0,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
ades -> drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,ades -> drag,1,ades,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,1,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
adic -> atur -> drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,adic -> atur -> drag,2,adic,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,2,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
atur -> clud -> atur -> drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,atur -> clud -> atur -> drag,3,atur,drag,atur,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,3,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
amos -> ados -> amos -> ensi -> ades -> drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,amos -> ados -> amos -> ensi -> ades -> drag,5,amos,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,4,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
amos -> ensi -> amos -> felt -> edly -> ades -> drag -> ades -> drag

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,amos -> ensi -> amos -> felt -> edly -> ades -> drag -> ades -> drag,8,amos,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,5,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
atur

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,atur,0,atur,atur,adic,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,6,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
adic -> atur

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,adic -> atur,1,adic,atur,clud,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,7,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
clud -> adic -> atur

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,clud -> adic -> atur,2,clud,atur,adic,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,8,0
"Graph:
Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos

Path so far:
adic -> atur -> drag -> atur

What is the next node? Respond with exactly one node label.",generic_adj_list,random_strings,adic -> atur -> drag -> atur,3,adic,atur,clud,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,9,0
