question,path_question,startpoint,endpoint,opt1,opt2,correct_choice,question_id,prompt_id
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from drag to clud: ades or atur?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from drag to clud. The first step after drag must be either ades or atur.",drag,clud,ades,atur,atur,0,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from drag to adic: atur or ades?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from drag to adic. The first step after drag must be either atur or ades.",drag,adic,atur,ades,atur,1,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from drag to edly: ades or atur?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from drag to edly. The first step after drag must be either ades or atur.",drag,edly,ades,atur,ades,2,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from drag to ensi: ades or atur?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from drag to ensi. The first step after drag must be either ades or atur.",drag,ensi,ades,atur,ades,3,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to bolt: drag or clud?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to bolt. The first step after atur must be either drag or clud.",atur,bolt,drag,clud,clud,4,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to bolt: drag or adic?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to bolt. The first step after atur must be either drag or adic.",atur,bolt,drag,adic,adic,5,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to date: adic or drag?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to date. The first step after atur must be either adic or drag.",atur,date,adic,drag,adic,6,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to date: clud or adic?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to date. The first step after atur must be either clud or adic.",atur,date,clud,adic,adic,7,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to ades: drag or clud?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to ades. The first step after atur must be either drag or clud.",atur,ades,drag,clud,drag,8,0
"Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos In the graph, what is the most efficient first step from atur to ades: drag or adic?","Adjacency list:
node drag: atur, ades
node atur: drag, clud, adic
node clud: atur, adic, bolt
node adic: atur, clud, bolt, date
node bolt: clud, adic, auge
node date: adic, auge
node auge: bolt, date
node ades: drag, edly, ensi
node edly: ades, felt
node ensi: ades, amos
node felt: edly, amos, ados
node amos: ensi, felt, ados
node ados: felt, amos Find the shortest path from atur to ades. The first step after atur must be either drag or adic.",atur,ades,drag,adic,drag,9,0
