random_walk_question,graph_context,name_source,path_so_far,prefix_length,start_node,current_node,sampled_next_node,valid_next_nodes,all_nodes,walk_id,prompt_id
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
drag

What is the next node? Respond with exactly one node label.",social,random_strings,drag,0,drag,drag,atur,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,0,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
ades -> drag

What is the next node? Respond with exactly one node label.",social,random_strings,ades -> drag,1,ades,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,1,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
adic -> atur -> drag

What is the next node? Respond with exactly one node label.",social,random_strings,adic -> atur -> drag,2,adic,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,2,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
atur -> clud -> atur -> drag

What is the next node? Respond with exactly one node label.",social,random_strings,atur -> clud -> atur -> drag,3,atur,drag,atur,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,3,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
amos -> ados -> amos -> ensi -> ades -> drag

What is the next node? Respond with exactly one node label.",social,random_strings,amos -> ados -> amos -> ensi -> ades -> drag,5,amos,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,4,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
amos -> ensi -> amos -> felt -> edly -> ades -> drag -> ades -> drag

What is the next node? Respond with exactly one node label.",social,random_strings,amos -> ensi -> amos -> felt -> edly -> ades -> drag -> ades -> drag,8,amos,drag,ades,atur|ades,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,5,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
atur

What is the next node? Respond with exactly one node label.",social,random_strings,atur,0,atur,atur,adic,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,6,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
adic -> atur

What is the next node? Respond with exactly one node label.",social,random_strings,adic -> atur,1,adic,atur,clud,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,7,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
clud -> adic -> atur

What is the next node? Respond with exactly one node label.",social,random_strings,clud -> adic -> atur,2,clud,atur,adic,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,8,0
"Graph:
edly is friends with felt. ados is friends with felt. drag is friends with ades. adic is friends with date. clud is friends with atur. adic is friends with atur. clud is friends with adic. ensi is friends with amos. ades is friends with edly. amos is friends with ensi. auge is friends with bolt. ades is friends with drag. auge is friends with date. clud is friends with bolt. atur is friends with adic. drag is friends with atur. felt is friends with amos. edly is friends with ades. ados is friends with amos. adic is friends with clud. amos is friends with ados. ades is friends with ensi. ensi is friends with ades. bolt is friends with clud. date is friends with auge. bolt is friends with auge. felt is friends with ados. date is friends with adic. atur is friends with clud. atur is friends with drag. amos is friends with felt. felt is friends with edly. adic is friends with bolt. bolt is friends with adic.

Path so far:
adic -> atur -> drag -> atur

What is the next node? Respond with exactly one node label.",social,random_strings,adic -> atur -> drag -> atur,3,adic,atur,clud,drag|adic|clud,drag|atur|clud|adic|bolt|date|auge|ades|edly|ensi|felt|amos|ados,9,0
